n,A,B,X,Aox,Box,Cox,Ra,Rb,Rc,exp,EAH
1.0,Cs,Tm,Cl,1.0,2.0,-1.0,1.81,1.17,1.67,True,0.15577054182540095
0.0,Pb,Ge,O,2.0,4.0,-2.0,1.33,0.67,1.26,True,0.0
0.0,Pb,Hf,O,2.0,4.0,-2.0,1.33,0.85,1.26,True,0.0
0.0,K,Ca,F,1.0,2.0,-1.0,1.52,1.14,1.19,True,0.0
0.0,K,Cd,F,1.0,2.0,-1.0,1.52,1.09,1.19,True,0.0
0.0,K,Co,F,1.0,2.0,-1.0,1.52,0.885,1.19,True,0.0
1.0,K,Co,F,1.0,2.0,-1.0,1.52,0.885,1.19,True,0.08233011714285876
2.0,K,Co,F,1.0,2.0,-1.0,1.5200000000000002,0.885,1.1899999999999997,True,0.0
0.0,K,Fe,F,1.0,2.0,-1.0,1.52,0.92,1.19,True,0.0
0.0,K,Hg,F,1.0,2.0,-1.0,1.52,1.16,1.1899999999999997,True,0.0
0.0,K,Mg,F,1.0,2.0,-1.0,1.52,0.86,1.19,True,0.0
1.0,K,Mg,F,1.0,2.0,-1.0,1.52,0.86,1.19,True,0.0
0.0,K,Nb,O,1.0,5.0,-2.0,1.52,0.78,1.26,True,0.0
0.0,K,Ni,F,1.0,2.0,-1.0,1.52,1.1500000000000001,1.19,True,0.0
1.0,K,Ni,F,1.0,2.0,-1.0,1.52,1.1500000000000001,1.19,True,0.0
2.0,K,Ni,F,1.0,2.0,-1.0,1.5200000000000002,1.1500000000000001,1.1899999999999997,True,0.0
0.0,K,Pd,F,1.0,2.0,-1.0,1.52,1.0,1.19,True,0.0
0.0,K,Ta,O,1.0,5.0,-2.0,1.52,0.78,1.26,True,0.0
0.0,K,U,O,1.0,5.0,-2.0,1.52,0.9,1.26,True,0.0
1.0,K,U,O,1.0,6.0,-2.0,1.52,0.87,1.26,True,0.0
0.0,K,V,F,1.0,2.0,-1.0,1.52,0.93,1.19,True,0.0
0.0,K,Zn,F,1.0,2.0,-1.0,1.52,0.88,1.19,True,0.0
1.0,K,Zn,F,1.0,2.0,-1.0,1.52,0.88,1.19,True,0.0
2.0,K,Zn,F,1.0,2.0,-1.0,1.5200000000000002,0.88,1.1899999999999997,True,0.0
0.0,La,Cr,O,3.0,3.0,-2.0,1.172,1.0999999999999999,1.26,True,0.0
0.0,La,Fe,O,3.0,3.0,-2.0,1.172,0.785,1.26,True,0.0
0.0,La,Ti,O,3.0,3.0,-2.0,1.172,0.81,1.26,True,0.0
0.0,La,V,O,3.0,3.0,-2.0,1.172,0.78,1.26,True,0.0
0.0,Mn,N,F,2.0,1.0,-1.0,0.97,0.55,1.19,True,0.0
0.0,Tl,Mn,Cl,1.0,2.0,-1.0,1.64,0.97,1.67,True,0.0
0.0,Na,V,F,1.0,2.0,-1.0,1.16,0.93,1.19,True,0.0
0.0,Na,W,O,1.0,5.0,-2.0,1.16,0.76,1.26,True,0.0
0.0,Nd,Al,O,3.0,3.0,-2.0,1.123,0.675,1.26,True,0.0
0.0,Nd,Co,O,3.0,3.0,-2.0,1.123,0.75,1.26,True,0.0
1.0,Nd,Co,O,3.0,2.0,-2.0,1.123,0.885,1.26,False,0.13076057928570783
3.0,Nd,Co,O,3.0,2.6666666666666665,-2.0,1.1229999999999998,0.7949999999999999,1.2599999999999998,True,0.02721578132352498
0.0,Nd,Cr,O,3.0,3.0,-2.0,1.123,1.0999999999999999,1.26,True,0.0
0.0,Nd,Ga,O,0.0,0.0,0.0,1.85,1.3,0.6,True,0.0
0.0,Nd,V,O,3.0,3.0,-2.0,1.123,0.78,1.26,True,0.0
0.0,Ni,N,F,2.0,1.0,-1.0,1.1500000000000001,0.55,1.19,True,0.0
1.0,Ni,N,F,2.0,1.0,-1.0,1.1500000000000001,0.55,1.19,False,1.6153764342857135
0.0,Pr,Al,O,3.0,3.0,-2.0,1.13,0.675,1.26,True,0.0
0.0,Pr,Co,O,3.0,3.0,-2.0,1.13,0.75,1.26,True,0.0
1.0,Pr,Co,O,3.0,2.0,-2.0,1.13,0.885,1.26,False,0.10703406089285394
0.0,Pr,Cr,O,3.0,3.0,-2.0,1.13,1.0999999999999999,1.26,True,0.0
0.0,Pr,Ga,O,0.0,0.0,0.0,1.85,1.3,0.6,True,0.0
0.0,Pr,V,O,3.0,3.0,-2.0,1.13,0.78,1.26,True,0.0
0.0,Rb,Ca,F,1.0,2.0,-1.0,1.66,1.14,1.19,True,0.0
0.0,Rb,Cd,F,1.0,2.0,-1.0,1.66,1.09,1.19,True,0.0
0.0,Rb,Fe,F,1.0,2.0,-1.0,1.66,0.92,1.19,True,0.0
1.0,Rb,Fe,F,1.0,2.0,-1.0,1.66,0.92,1.19,False,0.0
0.0,Rb,Ge,I,1.0,2.0,-1.0,1.66,0.87,2.06,True,0.0
0.0,Rb,Hg,F,1.0,2.0,-1.0,1.66,1.16,1.19,True,0.0
1.0,Rb,Hg,F,1.0,2.0,-1.0,1.66,1.16,1.19,True,0.0
0.0,Rb,Mg,F,1.0,2.0,-1.0,1.66,0.86,1.19,True,0.0
1.0,Rb,Mg,F,1.0,2.0,-1.0,1.66,0.86,1.19,True,0.0
0.0,Rb,Mn,F,1.0,2.0,-1.0,1.66,0.97,1.19,True,0.0
1.0,Rb,Mn,F,1.0,2.0,-1.0,1.66,0.97,1.19,False,0.0
0.0,Rb,Pb,F,1.0,2.0,-1.0,1.66,1.33,1.19,True,0.0
0.0,Rb,Pd,F,1.0,2.0,-1.0,1.66,1.0,1.19,True,0.0
0.0,Rb,U,O,1.0,5.0,-2.0,1.66,0.9,1.26,True,0.0
1.0,Rb,U,O,1.0,6.0,-2.0,1.66,0.87,1.26,True,0.0
0.0,Rb,V,F,1.0,2.0,-1.0,1.66,0.93,1.19,True,0.0
0.0,Sm,Co,O,3.0,3.0,-2.0,1.0979999999999999,0.75,1.26,True,0.0
0.0,Sm,Cr,O,3.0,3.0,-2.0,1.0979999999999999,1.0999999999999999,1.26,True,0.0
0.0,Sm,V,O,2.0,4.0,-2.0,1.36,0.72,1.26,True,0.0
0.0,Sn,C,Cl,2.0,1.0,-1.0,1.25,0.6,1.67,True,0.0
0.0,Sr,Fe,O,2.0,4.0,-2.0,1.32,0.9999999999999999,1.26,True,0.0
1.0,Sr,Fe,O,2.0,4.0,-2.0,1.32,0.9999999999999999,1.26,True,0.0
2.0,Sr,Fe,O,2.0,4.0,-2.0,1.32,0.9999999999999999,1.26,True,0.0
1.0,Sr,Fe,O,2.0,3.0,-2.0,1.32,0.785,1.2600000000000002,True,0.0
0.0,Sr,Ge,O,2.0,4.0,-2.0,1.32,0.67,1.26,True,0.0
1.0,Sr,Ge,O,2.0,4.0,-2.0,1.32,0.67,1.2600000000000002,True,0.00031808392857080037
0.0,Sr,Mn,O,2.0,4.0,-2.0,1.32,0.67,1.26,True,0.0
1.0,Sr,Mn,O,2.0,4.0,-2.0,1.32,0.67,1.26,True,0.00657690035713987
2.0,Sr,Mn,O,2.0,4.0,-2.0,1.32,0.67,1.26,True,0.028049522361125234
3.0,Sr,Mn,O,2.0,4.0,-2.0,1.32,0.67,1.2600000000000005,True,0.0033996247549170633
0.0,Sr,Si,O,2.0,4.0,-2.0,1.32,0.54,1.26,True,0.0
1.0,Sr,Si,O,2.0,4.0,-2.0,1.32,0.54,1.2600000000000002,True,0.0
0.0,Sr,V,O,2.0,4.0,-2.0,1.32,0.72,1.26,True,0.0
1.0,Sr,V,O,2.0,4.0,-2.0,1.32,0.72,1.26,True,0.025702391999993246
2.0,Sr,V,O,2.0,4.0,-2.0,1.32,0.72,1.26,True,0.0
3.0,Sr,V,O,2.0,4.0,-2.0,1.32,0.7200000000000001,1.26,True,0.04697741522706789
