file,formula,spacegroup_symbol,spacegroup_number,classification,family_match,confidence,anion_to_cation_ratio,score_abx3_like,score_layered_rp_like,network_score,b_site_species,octahedral_fraction_of_cations,largest_octa_network_fraction,a_site_coordination_fraction,A_element,B_element,X_element,A_oxidation_state,B_oxidation_state,X_oxidation_state,A_shannon_radius,B_shannon_radius,X_shannon_radius,A_shannon_cn,B_shannon_cn,X_shannon_cn,A_shannon_spin,B_shannon_spin,X_shannon_spin,error
data/cifs/BaCoO3_mp-18965.cif,Ba1 Co1 O3,Cm,8,unlikely perovskite-family,False,0.561,1.5,1.0,0.882352941176471,0.7375,Co,0.5,0.25,1.0,Ba,Co,O,2.0,4.0,-2.0,1.610,0.530,1.350,XII,VI,II,none,none,none,
data/cifs/BaCrO3_mp-540926.cif,Ba1 Cr1 O3,P6_3/mmc,194,likely perovskite-family (ABX3/double-perovskite-like),True,1.0,1.5,1.0,0.882352941176471,1.0,Cr,0.5,1.0,1.0,Ba,Cr,O,2.0,4.0,-2.0,1.610,0.550,1.350,XII,VI,II,none,none,none,
data/cifs/BaCrO3_mp-557081.cif,Ba1 Cr1 O3,P6_3/mmc,194,likely perovskite-family (ABX3/double-perovskite-like),True,1.0,1.5,1.0,0.882352941176471,1.0,Cr,0.5,1.0,1.0,Ba,Cr,O,2.0,4.0,-2.0,1.610,0.550,1.350,XII,VI,II,none,none,none,
data/cifs/BaFeO3_mp-1192651.cif,Ba1 Fe1 O3,P6_3/mmc,194,likely perovskite-family (ABX3/double-perovskite-like),True,1.0,1.5,1.0,0.882352941176471,1.0,Fe,0.5,1.0,1.0,Ba,Fe,O,2.0,4.0,-2.0,1.610,0.585,1.350,XII,VI,II,none,none,none,
data/cifs/BaFeO3_mp-19035.cif,Ba1 Fe1 O3,Pm-3m,221,likely perovskite-family (ABX3/double-perovskite-like),True,1.0,1.5,1.0,0.882352941176471,1.0,Fe,0.5,1.0,1.0,Ba,Fe,O,2.0,4.0,-2.0,1.610,0.585,1.350,XII,VI,II,none,none,none,
data/cifs/BaGe3Ir_mp-1069708.cif,Ba1 Ge3 Ir1,I4mm,107,unlikely perovskite-family,False,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
data/cifs/BaGe3Pd_mp-1068447.cif,Ba1 Ge3 Pd1,I4mm,107,unlikely perovskite-family,False,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
data/cifs/BaGe3Pt_mp-22346.cif,Ba1 Ge3 Pt1,I4mm,107,unlikely perovskite-family,False,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
data/cifs/BaGe3Rh_mp-1070247.cif,Ba1 Ge3 Rh1,I4mm,107,unlikely perovskite-family,False,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
data/cifs/BaGeO3_mp-13863.cif,Ba1 Ge1 O3,P2_12_12_1,19,unlikely perovskite-family,False,0.227,1.5,1.0,0.882352941176471,0.0,,0.0,0.0,0.0,Ge,Ba,O,4.0,2.0,-2.0,0.530,1.350,1.350,VI,VI,II,none,none,none,
